County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,All Children 200,-0.191,-0.45,-0.546,-0.078,-0.292,0.0,"612,985","136,078","38,425",0.0649,0.07730000000000001,0.052300000000000006,0.0525,0.0425,0.023700000000000002,0.019,0.0144,0.0089,0.0175,0.0102,0.0089
Anne Arundel,All Children 200,-0.18,-0.385,-0.7859999999999999,-0.085,-0.287,-0.27899999999999997,"67,952","12,172","3,194",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.09359999999999999,0.0694,0.038900000000000004,0.0432,0.0444,0.013600000000000001,0.0395,0.0317,0.0098
Baltimore City,All Children 200,-0.1,-0.255,-0.149,-0.128,-0.35200000000000004,-0.35,"595,705","122,089","37,354",0.25,0.3296,0.2793,0.2249,0.24539999999999998,0.2378,0.0898,0.1005,0.0724,0.0783,0.0652,0.047
Baltimore County,All Children 200,-0.154,-0.304,-0.262,-0.196,-0.613,-0.693,"865,896","186,739","50,331",0.12710000000000002,0.1326,0.171,0.1075,0.09230000000000001,0.1261,0.0463,0.037200000000000004,0.0327,0.037200000000000004,0.0144,0.01
Calvert,All Children 200,-0.042,-0.054000000000000006,-0.192,-0.41,-0.722,-0.856,"100,193","23,096","5,039",0.085,0.11410000000000001,0.0966,0.0814,0.1079,0.0781,0.044500000000000005,0.0788,0.0781,0.0263,0.0219,0.011200000000000002
Caroline,All Children 200,-0.095,-0.248,0.0,0.0,0.0,0.0,"34,804","6,894","1,570",0.0834,0.0681,0.040999999999999995,0.0755,0.051100000000000007,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Carroll,All Children 200,-0.139,-0.32299999999999995,-0.48700000000000004,-0.078,-0.247,-0.48,"178,564","37,240","8,930",0.0691,0.0766,0.063,0.059500000000000004,0.0518,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
Cecil,All Children 200,-0.09300000000000001,-0.34,-0.3,-0.26899999999999996,-0.294,0.0,"108,229","23,069","6,038",0.1063,0.0759,0.0629,0.0965,0.0501,0.0441,0.046799999999999994,0.0296,0.0028000000000000004,0.0342,0.0209,0.0028000000000000004
Charles,All Children 200,-0.255,-0.539,-0.738,-0.055,-0.278,0.0,"174,238","41,222","9,237",0.0907,0.1121,0.08539999999999999,0.0676,0.0516,0.022400000000000003,0.024399999999999998,0.0152,0.0159,0.023,0.011000000000000001,0.0159
Dorchester,All Children 200,-0.095,-0.248,0.0,0.0,0.0,0.0,"33,845","6,704","1,526",0.0834,0.0681,0.040999999999999995,0.0755,0.051100000000000007,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Frederick,All Children 200,-0.195,-0.434,-0.43,-0.113,-0.32799999999999996,-0.221,"275,124","62,421","16,185",0.10039999999999999,0.105,0.1272,0.0808,0.059500000000000004,0.0725,0.0294,0.0281,0.0246,0.026000000000000002,0.0189,0.0192
Garrett,All Children 200,-0.18,-0.385,-0.7859999999999999,-0.085,-0.287,-0.27899999999999997,"27,805","4,981","1,307",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.09359999999999999,0.0694,0.038900000000000004,0.0432,0.0444,0.013600000000000001,0.0395,0.0317,0.0098
Harford,All Children 200,-0.071,-0.154,-0.185,-0.38,-0.7390000000000001,-0.746,"272,165","59,029","15,126",0.0874,0.09140000000000001,0.1796,0.0812,0.07730000000000001,0.1463,0.039599999999999996,0.0572,0.1197,0.0245,0.0149,0.0304
Howard,All Children 200,-0.145,-0.32,-0.305,0.0,0.0,0.0,"347,480","83,495","21,180",0.07719999999999999,0.0745,0.0559,0.066,0.0506,0.038900000000000004,0.0239,0.0131,0.0179,0.0239,0.0131,0.0179
Kent,All Children 200,-0.095,-0.248,0.0,0.0,0.0,0.0,"20,574","4,075",928,0.0834,0.0681,0.040999999999999995,0.0755,0.051100000000000007,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Maryland,All Children 200,-0.165,-0.348,-0.321,-0.157,-0.45,-0.467,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1048,0.0967,0.1076,0.040999999999999995,0.0383,0.0355,0.0346,0.021099999999999997,0.0189
Montgomery,All Children 200,-0.16699999999999998,-0.276,-0.314,-0.18899999999999997,-0.48200000000000004,-0.5660000000000001,"1,117,479","253,075","68,066",0.1391,0.16899999999999998,0.2184,0.11599999999999999,0.12240000000000001,0.1497,0.0397,0.0355,0.0334,0.0322,0.0184,0.014499999999999999
Prince George's,All Children 200,-0.275,-0.5529999999999999,-0.439,-0.062,-0.225,-0.16,"939,674","210,461","62,964",0.14800000000000002,0.2011,0.19440000000000002,0.1073,0.08990000000000001,0.109,0.0369,0.027000000000000003,0.0313,0.0346,0.0209,0.0263
