County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Allegany,Young Children 200,-0.028999999999999998,-0.059000000000000004,-0.22699999999999998,0.0,0.0,0.0,"612,985","136,078","38,425",0.0649,0.07730000000000001,0.052300000000000006,0.063,0.0728,0.0404,0.019,0.0144,0.0089,0.019,0.0144,0.0089
Anne Arundel,Young Children 200,-0.154,-0.314,-0.742,0.0,0.0,0.0,"67,952","12,172","3,194",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.0965,0.0775,0.046900000000000004,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
Baltimore City,Young Children 200,-0.003,-0.008,-0.013000000000000001,-0.02,-0.054000000000000006,-0.201,"595,705","122,089","37,354",0.25,0.3296,0.2793,0.2492,0.3268,0.2758,0.0898,0.1005,0.0724,0.08800000000000001,0.0951,0.057800000000000004
Baltimore County,Young Children 200,-0.03,-0.061,-0.159,-0.040999999999999995,-0.136,-0.336,"865,896","186,739","50,331",0.12710000000000002,0.1326,0.171,0.1233,0.1245,0.1437,0.0463,0.037200000000000004,0.0327,0.0444,0.0321,0.0217
Calvert,Young Children 200,-0.042,-0.054000000000000006,-0.192,-0.075,-0.098,-0.455,"100,193","23,096","5,039",0.085,0.11410000000000001,0.0966,0.0814,0.1079,0.0781,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Caroline,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"34,804","6,894","1,570",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Carroll,Young Children 200,-0.067,-0.17300000000000001,-0.48700000000000004,-0.078,-0.247,-0.48,"178,564","37,240","8,930",0.0691,0.0766,0.063,0.0645,0.0633,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
Cecil,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"108,229","23,069","6,038",0.1063,0.0759,0.0629,0.1063,0.0759,0.0629,0.046799999999999994,0.0296,0.0028000000000000004,0.046799999999999994,0.0296,0.0028000000000000004
Charles,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"174,238","41,222","9,237",0.0907,0.1121,0.08539999999999999,0.0907,0.1121,0.08539999999999999,0.024399999999999998,0.0152,0.0159,0.024399999999999998,0.0152,0.0159
Dorchester,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"33,845","6,704","1,526",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Frederick,Young Children 200,-0.042,-0.054000000000000006,-0.171,0.0,0.0,0.0,"275,124","62,421","16,185",0.10039999999999999,0.105,0.1272,0.0962,0.09939999999999999,0.10550000000000001,0.0294,0.0281,0.0246,0.0294,0.0281,0.0246
Garrett,Young Children 200,-0.154,-0.314,-0.742,0.0,0.0,0.0,"27,805","4,981","1,307",0.11410000000000001,0.11289999999999999,0.18170000000000003,0.0965,0.0775,0.046900000000000004,0.0432,0.0444,0.013600000000000001,0.0432,0.0444,0.013600000000000001
Harford,Young Children 200,-0.033,-0.052000000000000005,-0.10300000000000001,-0.10800000000000001,-0.10400000000000001,-0.19399999999999998,"272,165","59,029","15,126",0.0874,0.09140000000000001,0.1796,0.08460000000000001,0.0866,0.161,0.039599999999999996,0.0572,0.1197,0.0353,0.0512,0.0965
Howard,Young Children 200,-0.011000000000000001,-0.022000000000000002,-0.11599999999999999,0.0,0.0,0.0,"347,480","83,495","21,180",0.07719999999999999,0.0745,0.0559,0.0764,0.0729,0.049400000000000006,0.0239,0.0131,0.0179,0.0239,0.0131,0.0179
Kent,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"20,574","4,075",928,0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Maryland,Young Children 200,-0.04,-0.08,-0.18899999999999997,-0.040999999999999995,-0.109,-0.27,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1204,0.1364,0.1285,0.040999999999999995,0.0383,0.0355,0.0393,0.0341,0.0259
Montgomery,Young Children 200,-0.053,-0.105,-0.2,-0.098,-0.267,-0.5660000000000001,"1,117,479","253,075","68,066",0.1391,0.16899999999999998,0.2184,0.1318,0.15130000000000002,0.1746,0.0397,0.0355,0.0334,0.0358,0.026000000000000002,0.014499999999999999
Prince George's,Young Children 200,-0.086,-0.16,-0.32299999999999995,-0.02,-0.07400000000000001,-0.11,"939,674","210,461","62,964",0.14800000000000002,0.2011,0.19440000000000002,0.1353,0.1689,0.1316,0.0369,0.027000000000000003,0.0313,0.0361,0.025,0.0279
Queen Anne's,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"52,268","10,354","2,357",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Somerset,Young Children 200,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"25,729","5,354","1,343",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
St. Mary's,Young Children 200,-0.042,-0.054000000000000006,-0.192,-0.075,-0.098,-0.455,"122,944","28,340","6,183",0.085,0.11410000000000001,0.0966,0.0814,0.1079,0.0781,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
Talbot,Young Children 200,0.0,0.0,0.0,0.0,0.0,0.0,"39,141","7,753","1,765",0.0834,0.0681,0.040999999999999995,0.0834,0.0681,0.040999999999999995,0.019,0.013500000000000002,0.0040999999999999995,0.019,0.013500000000000002,0.0040999999999999995
Washington,Young Children 200,-0.06,-0.142,-0.6629999999999999,0.0,0.0,0.0,"152,311","33,790","8,912",0.09380000000000001,0.09820000000000001,0.0653,0.0882,0.0843,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
Wicomico,Young Children 200,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"102,537","21,337","5,350",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
