District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-0.165,-0.348,-0.321,-0.157,-0.45,-0.467,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1048,0.0967,0.1076,0.040999999999999995,0.0383,0.0355,0.0346,0.021099999999999997,0.0189
1,-0.184,-0.387,-0.7759999999999999,-0.092,-0.315,-0.35600000000000004,"114,171","21,238","5,578",0.1109,0.1101,0.1592,0.09050000000000001,0.0674,0.0356,0.0414,0.0421,0.013999999999999999,0.037599999999999995,0.0288,0.009000000000000001
2,-0.20600000000000002,-0.397,-0.6629999999999999,-0.14300000000000002,-0.47700000000000004,-0.636,"133,897","29,705","7,835",0.09380000000000001,0.09820000000000001,0.0653,0.0745,0.0592,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.0275,0.0169,0.005699999999999999
3,-0.258,-0.519,-0.629,-0.087,-0.264,-0.41600000000000004,"140,519","30,562","8,475",0.1101,0.1321,0.1464,0.0817,0.0635,0.054299999999999994,0.0318,0.0298,0.022000000000000002,0.0291,0.0219,0.0129
4,-0.11699999999999999,-0.299,-0.146,-0.14,-0.387,-0.064,"148,118","34,677","8,386",0.08839999999999999,0.0788,0.1027,0.0781,0.0553,0.0877,0.0263,0.026000000000000002,0.026099999999999998,0.0226,0.016,0.0245
5,-0.139,-0.32299999999999995,-0.48700000000000004,-0.078,-0.247,-0.48,"137,094","28,591","6,856",0.0691,0.0766,0.063,0.059500000000000004,0.0518,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
6,-0.153,-0.23199999999999998,-0.08199999999999999,-0.16699999999999998,-0.3,-0.114,"125,612","26,628","6,496",0.1517,0.1416,0.096,0.1285,0.10880000000000001,0.08810000000000001,0.0542,0.0738,0.0369,0.0451,0.051699999999999996,0.0327
7,-0.077,-0.166,-0.039,-0.121,-0.441,-0.47600000000000003,"141,761","29,232","7,021",0.09179999999999999,0.1041,0.1882,0.0848,0.08689999999999999,0.1809,0.030899999999999997,0.0259,0.059500000000000004,0.0271,0.014499999999999999,0.0311
8,-0.021,-0.017,0.0,-0.188,-0.8240000000000001,-0.7240000000000001,"131,122","27,580","8,905",0.1439,0.1557,0.3223,0.1409,0.1531,0.3223,0.0603,0.0438,0.0695,0.049,0.0077,0.0191
9,-0.13,-0.26,-0.3,-0.015,-0.059000000000000004,-0.08900000000000001,"151,926","35,148","8,316",0.0737,0.0775,0.0441,0.0641,0.057300000000000004,0.030899999999999997,0.0207,0.015,0.0104,0.0204,0.0141,0.0095
